accession	name_in_vcf	include_in_map	include_in_network	include_in_admixture	admixture_expanded	big_admix?	selection_scan_pop	admix_pop	network_color	population	latitude	longitude	ploidy_man_curated	nquire_ploidy	proportion_het%_NT1fin	Nb_S_groups_DB2022_man_curated	Species_fin	source	source_type	experimentaly_validated	snps_(2n)	collector,_comments	admix	twisst_Siberia	selection_test	est-sfs	demographic_modeling_pops							
SRR2040830	SRR2040830_4n	yes	yes	no	yes	yes		SRR2040830		Austria_4n	48.39	15.48	4	4	0,72	3	A._lyrata	Novikova_et_al._2016	published				y											
SRR2082718	SRR2082718	no	no	no	no				exclude	Capsella_rubella							Capsella_rubella																	
SRR3111439	SRR3111439	yes	yes	no	yes	yes		SRR3111439		Germany_2n	49.75	11.42	2	2	0,31	2	A._lyrata	Novikova_et_al._2016	published				y											
SRR3111440	SRR3111440	yes	yes	no	yes	yes		SRR2040797		Austria_2n	47.91	15.97	2	2	0,30	2	A._lyrata	Novikova_et_al._2016	published				y											
SRR3111441	SRR3111441	yes	yes	no	yes	yes		SRR3111441		Austria_2n	47.97	16.16	2	2	0,35	2	A._lyrata	Novikova_et_al._2016	published				y											
SRR3111442	SRR3111442	yes	yes	no	yes	yes		SRR2040791		Chechia_2n	49.11	16.3	2	2	0,24	2	A._lyrata	Novikova_et_al._2016	published		done		y											
SRR3111443	SRR3111443	yes	yes	no	yes	yes		SRR3111443		Chechia_2n	50.06	14.07	2	2	0,28	2	A._lyrata	Novikova_et_al._2016	published				y											
SRR3111448	SRR3111448_4n	yes	yes	no	yes	yes		SRR3111448		Chechia_4n	49.08	16.33	4	4	0,53	3	A._lyrata	Novikova_et_al._2016	published				y											
SRR5124974	SRR5124974	yes	yes	yes	yes	yes		SRR5124974	karelia	Karelia_2n	62.9166667	34.41666667	2	2	0,24	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124975	SRR5124975	yes	yes	no	yes	yes		SRR5124975		Germany_2n	49.65	11.48333333	2	2	0,37	1	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124976	SRR5124976	yes	yes	no	yes	yes		SRR5124988		UKScandinavia_2n	57.5033	-6.1975	2	2	0,36	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124977	SRR5124977	yes	yes	no	yes	yes		SRR5124977		UKScandinavia_2n	61.6333333	8.4	2	2	0,31	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124978	SRR5124978	yes	yes	no	yes	yes		SRR5124978		UKScandinavia_2n	63.2166667	18.95	2	2	0,32	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124979	SRR5124979	no	yes	no	no					NA_2n	36.4166667	-79.9666667	2	2	0,21	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124980	SRR5124980	yes	yes	yes	yes	yes		SRR5124980	karelia	Karelia_2n	62.9166667	34.41666667	2	2	0,24	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124981	SRR5124981	no	yes	no	no					NA_2n	36.4166667	-79.9666667	2	2	0,20	1	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124982	SRR5124982	yes	yes	no	yes	yes		SRR5124978		UKScandinavia_2n	63.2166667	18.95	2	2	0,25	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124983	SRR5124983	yes	yes	no	yes	yes		SRR5124977		UKScandinavia_2n	61.6333333	8.4	2	2	0,28	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124984	SRR5124984	yes	yes	no	yes	yes		SRR5124975		Germany_2n	49.65	11.48333333	2	2	0,31	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124985	SRR5124985	yes	yes	no	yes	yes		SRR5124977		UKScandinavia_2n	61.6333333	8.4	2	2	0,26	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124986	SRR5124986	yes	yes	no	yes	yes		SRR5124975		Germany_2n	49.65	11.48333333	2	2	0,36	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124987	SRR5124987	yes	yes	no	yes	yes		SRR5124978		UKScandinavia_2n	63.2166667	18.95	2	2	0,30	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124988	SRR5124988	yes	yes	no	yes	yes		SRR5124988		UKScandinavia_2n	57.5033	-6.1975	2	2	0,37	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124989	SRR5124989	yes	yes	no	yes	yes		SRR5124975		Germany_2n	49.65	11.48333333	2	2	0,35	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124990	SRR5124990	yes	yes	no	yes	yes		SRR5124975		Germany_2n	49.65	11.48333333	2	2	0,33	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124991	SRR5124991	no	yes	no	no	yes		SRR5124994		NA_2n	36.4166667	-79.9666667	2	2	0,14	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124992	SRR5124992	no	yes	no	no	yes		SRR5124994		NA_2n	36.4166667	-79.9666667	2	2	0,17	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124993	SRR5124993	yes	yes	yes	yes	yes		SRR5124993	karelia	Karelia_2n	62.9166667	34.41666667	2	2	0,21	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124994	SRR5124994	yes	yes	no	yes	yes		SRR5124994		NA_2n	36.4166667	-79.9666667	2	2	0,20	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124995	SRR5124995	yes	yes	no	yes	yes		SRR5124978		UKScandinavia_2n	63.2166667	18.95	2	2	0,24	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124996	SRR5124996	yes	yes	no	yes	yes		SRR5124978		UKScandinavia_2n	63.2166667	18.95	2	2	0,29	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124997	SRR5124997	yes	yes	no	yes	yes		SRR5124977		UKScandinavia_2n	61.6333333	8.4	2	2	0,30	1	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124998	SRR5124998	yes	yes	no	yes	yes		SRR5124977		UKScandinavia_2n	61.6333333	8.4	2	2	0,30	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5124999	SRR5124999	yes	yes	no	yes	yes		SRR5124977		UKScandinavia_2n	61.6333333	8.4	2	2	0,27	1	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5125000	SRR5125000	no	yes	no	no					NA_2n	36.4166667	-79.9666667	2	2	0,19	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5125001	SRR5125001	yes	yes	yes	yes	yes		SRR5125001	karelia	Karelia_2n	62.9166667	34.41666667	2	2	0,21	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5125002	SRR5125002	yes	yes	no	yes	yes		SRR5124978		UKScandinavia_2n	63.2166667	18.95	2	2	0,30	2	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR5125003	SRR5125003	yes	yes	no	yes	yes		SRR5124975		Germany_2n	49.65	11.48333333	2	2	0,30	1	A._lyrata	Mattila_et_al,_2017	published		cohort3		y											
SRR7119523	SRR7119523	yes	yes	no	yes	yes		SRR7119526		UKScandinavia_2n	62.66	8.62	2	2	0,29	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119524	SRR7119524	yes	yes	no	yes	yes		SRR7119526		UKScandinavia_2n	62.66	8.62	2	2	0,31	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119525	SRR7119525	yes	yes	no	yes	yes		SRR7119526		UKScandinavia_2n	62.66	8.62	2	2	0,30	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119526	SRR7119526	yes	yes	no	yes	yes		SRR7119526		UKScandinavia_2n	62.66	8.62	2	2	0,31	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119527	SRR7119527	yes	yes	no	yes	yes		SRR7119527		UKScandinavia_2n	62.44	8.9	2	2	0,35	1	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119528	SRR7119528	yes	yes	no	yes	yes		SRR7119527		UKScandinavia_2n	62.44	8.9	2	4	0,21	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119529	SRR7119529	yes	yes	no	yes	yes		SRR7119527		UKScandinavia_2n	62.44	8.9	2	2	0,22	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119530	SRR7119530	yes	yes	no	yes	yes		SRR7119527		UKScandinavia_2n	62.44	8.9	2	2	0,25	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119531	SRR7119531	yes	yes	no	yes	yes		SRR7119527		UKScandinavia_2n	62.44	8.9	2	2	0,26	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119532	SRR7119532	yes	yes	no	yes	yes		SRR7119545		UKScandinavia_2n	61.62	8.4	2	2	0,29	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119533	SRR7119533	yes	yes	no	yes	yes		SRR7119539		UKScandinavia_2n	61.84	8.57	2	2	0,30	1	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119534	SRR7119534	yes	yes	no	yes	yes		SRR7119539		UKScandinavia_2n	61.84	8.57	2	2	0,29	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119535	SRR7119535	yes	yes	no	yes	yes		SRR7119539		UKScandinavia_2n	61.84	8.57	2	2	0,30	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119536	SRR7119536	yes	yes	no	yes	yes		SRR7119539		UKScandinavia_2n	61.84	8.57	2	2	0,29	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119537	SRR7119537	yes	yes	no	yes	yes		SRR7119539		UKScandinavia_2n	61.84	8.57	2	2	0,30	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119539	SRR7119539	yes	yes	no	yes	yes		SRR7119539		UKScandinavia_2n	61.84	8.57	2	3	0,33	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119540	SRR7119540	yes	yes	no	yes	yes		SRR7119539		UKScandinavia_2n	61.84	8.57	2	2	0,29	1	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119541	SRR7119541	yes	yes	no	yes	yes		SRR7119539		UKScandinavia_2n	61.84	8.57	2	2	0,25	1	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119542	SRR7119542	yes	yes	no	yes	yes		SRR7119526		UKScandinavia_2n	62.66	8.62	2	2	0,30	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119543	SRR7119543	yes	yes	no	yes	yes		SRR7119545		UKScandinavia_2n	61.62	8.4	2	2	0,28	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119544	SRR7119544	yes	yes	no	yes	yes		SRR7119545		UKScandinavia_2n	61.62	8.4	2	2	0,24	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119545	SRR7119545	yes	yes	no	yes	yes		SRR7119545		UKScandinavia_2n	61.62	8.4	2	2	0,30	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119546	SRR7119546	yes	yes	no	yes	yes		SRR7119545		UKScandinavia_2n	61.62	8.4	2	2	0,27	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119547	SRR7119547	yes	yes	no	yes	yes		SRR7119545		UKScandinavia_2n	61.62	8.4	2	2	0,29	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR7119548	SRR7119548	yes	yes	no	yes	yes		SRR7119545		UKScandinavia_2n	61.62	8.4	2	2	0,29	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR9319641	SRR9319641	yes	yes	no	yes	yes		SRR9319648		UKScandinavia_2n	62.74	9.3	2	2	0,30	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR9319642	SRR9319642	yes	yes	no	yes	yes		SRR9319648		UKScandinavia_2n	62.74	9.3	2	2	0,28	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR9319643	SRR9319643	yes	yes	no	yes	yes		SRR9319648		UKScandinavia_2n	62.74	9.3	2	2	0,28	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR9319644	SRR9319644	yes	yes	no	yes	yes		SRR9319648		UKScandinavia_2n	62.74	9.3	2	2	0,29	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		n											
SRR9319645	SRR9319645	yes	yes	no	yes	yes		SRR9319648		UKScandinavia_2n	62.74	9.3	2	2	0,30	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR9319646	SRR9319646	yes	yes	no	yes	yes		SRR9319648		UKScandinavia_2n	62.74	9.3	2	2	0,30	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR9319647	SRR9319647	yes	yes	no	yes	yes		SRR9319648		UKScandinavia_2n	62.74	9.3	2	2	0,29	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR9319648	SRR9319648	yes	yes	no	yes	yes		SRR9319648		UKScandinavia_2n	62.74	9.3	2	2	0,32	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
SRR9319649	SRR9319649	yes	yes	no	yes	yes		SRR9319648		UKScandinavia_2n	62.74	9.3	2	2	0,28	2	A._lyrata	Hämälä_et_al,_2017	published		cohort5		y											
TE_10.1-1	TE_10.1-1	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,37	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.1-2	TE_10.1-2	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.2-1	TE_10.2-1	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.2-2	TE_10.2-2	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.3-1	TE_10.3-1	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,40	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.3-2	TE_10.3-2	yes	yes	yes	yes	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,39	2	A._lyrata	Kolesnikova_et_al._2023	published			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.4-1	TE_10.4-1	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,34	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.4-2	TE_10.4-2	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.5-1	TE_10.5-1	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.5-2	TE_10.5-2	yes	yes	yes	yes	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.6-1	TE_10.6-1	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.6-2	TE_10.6-2	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.7-1	TE_10.7-1	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.7-2	TE_10.7-2	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,35	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.8-1	TE_10.8-1	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.8-2	TE_10.8-2	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.9-1	TE_10.9-1	yes	yes	no	no	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_10.9-2	TE_10.9-2	yes	yes	yes	yes	yes	LE_2n	TE10	blue	LE_2n	68.91428	77.66211	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.1-1	TE_11.1-1	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.1-2	TE_11.1-2	yes	yes	yes	yes	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,38	2	A._lyrata	Kolesnikova_et_al._2023	published			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.10-1	TE_11.10-1	yes	yes	yes	yes	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,38	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.10-2	TE_11.10-2	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,35	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.2-1	TE_11.2-1	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.2-2	TE_11.2-2	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,35	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.3-1	TE_11.3-1	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,39	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.3-2	TE_11.3-2	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.4-1	TE_11.4-1	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.4-2	TE_11.4-2	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.5-1	TE_11.5-1	yes	yes	yes	yes	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.5-2	TE_11.5-2	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	3	0,31	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.6-1	TE_11.6-1	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.6-2	TE_11.6-2	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	3	0,29	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.7-1	TE_11.7-1	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.7-2	TE_11.7-2	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.8-1	TE_11.8-1	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.8-2	TE_11.8-2	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,33	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.9-1	TE_11.9-1	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_11.9-2	TE_11.9-2	yes	yes	no	no	yes	LE_2n	TE11	blue	LE_2n	68.94298	77.75131	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.1-1	TE_3.1-1	yes	yes	yes	yes	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	3	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.1-2	TE_3.1-2	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.2-1	TE_3.2-1	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,40	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.2-2	TE_3.2-2	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.3-1	TE_3.3-1	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,40	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.3-2	TE_3.3-2	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.4-1	TE_3.4-1	yes	yes	yes	yes	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,35	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.4-2	TE_3.4-2	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,35	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.5-1	TE_3.5-1	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.5-2	TE_3.5-2	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.6-1	TE_3.6-1	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.6-2	TE_3.6-2	yes	yes	yes	yes	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.7-1	TE_3.7-1	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.7-2	TE_3.7-2	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.8-1	TE_3.8-1	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.8-2	TE_3.8-2	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,35	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
